Type,LAI
P,0
P,1.099710751
P,0
P,0
P,1.825361483
P,0
P,0
P,0
P,1.301474186
P,0.404293711
P,0
P,0
P,0
P,0
P,1.604208264
P,0
P,0
P,0
P,0
P,1.078928698
P,0
P,0
P,0
P,0
P,0.793164934
P,0
P,0
P,0
P,0
P,0
P,0
P,0
P,0
P,0
P,0
P,0
P,0
P,0
P,0
P,0
P,0
P,0
P,0
P,1.648996336
P,0
P,0
P,0
P,0
P,0
P,0
P,0
P,0
P,0
P,0.91632624
L,2.219611668
L,1.915305928
L,1.62898391
L,1.831767456
L,2.359129265
L,2.185146869
L,1.298416995
L,1.654910295
L,2.232655
L,1.437045729
L,1.913625391
L,2.016046543
L,1.803979702
L,2.09321878
L,1.98967169
L,1.714570113
L,2.104082964
L,1.780133144
L,2.094452381
L,2.118029391
L,1.174594885
L,1.802759468
L,1.629157356
L,1.818186981
L,1.457373422
L,2.05383298
L,2.279759862
L,2.104965533
L,1.931769481
L,1.917384328
L,2.10429187
L,1.738992862
L,2.190972668
L,1.715711295
L,1.990358495
L,2.142960374
L,2.084286136
L,1.501760859
L,1.845905619
L,1.866424829
L,1.942962478
L,1.394803226
L,2.240636485
L,2.027879846
L,1.917368665
L,2.316799163
L,2.003231824
L,1.740202078
L,1.324088252
L,1.920950845
L,1.715235879
L,1.833434599
L,1.808819324
L,1.317874072
I,2.169102738
I,2.553103785
I,2.230657334
I,2.207492402
I,2.278809107
I,2.430502403
I,2.15818049
I,2.045879805
I,2.275180019
I,2.441557751
I,2.35499817
I,2.306133785
I,2.098170555
I,2.181717916
I,2.57605114
I,2.009824693
I,2.269176915
I,2.060117662
I,2.159640095
I,2.315364325
I,2.129981795
I,2.416033251
I,1.941714151
I,2.043508195
I,2.195706186
I,2.160880542
I,2.285427219
I,2.249970253
I,2.413073499
I,2.311365221
I,2.67363282
I,2.166627169
I,2.083604579
I,2.44310096
I,2.31146553
I,2.536933097
I,2.06963193
I,2.094303562
I,2.337885837
I,2.357280383
I,2.296408213
I,2.20214163
I,2.145718246
I,2.160358542
I,2.225924845
I,2.171706565
I,2.025531175
I,2.200523148
I,2.261640817
I,2.194836309
I,2.204917121
I,2.272394017
I,2.271657769
I,2.299092148