Sample number ,Type,No. H,T (40s),Recording (40s) (g/L),Recording (120mins)(g/L),T (2h),Soil weight,B,A(40s),A(2h),MCF,SW_Correct,A(40),S+C,%Sand,A(120),%Clay,%Silt
P1,P,1,24.1,42.5,37,22.1,50.33,24.08,43.976,37.756,0.894784995,45.03452882,43.976,0.441794341,55.82056586,37.756,30.36780967,13.81162446
P2,P,1,23.9,44,39.5,22.5,50.61,24.08,45.404,40.4,0.908413206,45.97479233,45.404,0.463819387,53.61806129,40.4,35.49771336,10.88422535
P3,P,1,22.7,39.5,29.5,22.2,50.07,24.08,40.472,30.292,0.917647059,45.94658824,40.472,0.356762072,64.32379284,30.292,13.52004629,22.15616086
P4,P,1,23.7,40,31,22.1,50.05,24.08,41.332,31.756,0.922907489,46.19151982,41.332,0.373488469,62.65115314,31.756,16.61776887,20.73107799
P5,P,1,23.2,39,31,22.3,50.08,24.08,40.152,31.828,0.924920128,46.32,40.152,0.346977547,65.30224525,31.828,16.72711572,17.97063903
P6,P,1,24.6,44.5,40,21.7,50.09,24.08,46.156,40.612,0.898698885,45.01582714,46.156,0.490405295,50.95947047,40.612,36.72486112,12.3156684
P7,P,1,24.1,42.5,34,22.1,50.45,24.08,43.976,34.756,0.909542744,45.88643141,43.976,0.433592227,56.64077727,34.756,23.26613701,20.09308573
P8,P,1,22.1,40,31,21.5,50.26,22.312,40.756,31.54,0.92,46.2392,40.756,0.398882334,60.11176664,31.54,19.95709268,19.93114068
P9,P,1,23.4,40.5,31.5,21.9,50.43,22.312,41.724,32.184,0.917372881,46.26311441,41.724,0.419599939,58.04000606,32.184,21.33881414,20.62117979
P10,P,1,23,37,31,22,50.3,22.312,38.08,31.72,0.92450879,46.50279214,38.08,0.339076414,66.0923586,31.72,20.23104327,13.67659813
P11,P,1,23.4,42.5,38,21.9,50.07,22.312,43.724,38.684,0.901185771,45.12237154,43.724,0.474531796,52.54682042,38.684,36.2835539,11.16962568
P12,P,1,24.1,41.5,36,22,50.16,22.312,42.976,36.72,0.902578797,45.27335244,42.976,0.456427432,54.35725678,36.72,31.82446014,13.81828308
P13,P,1,23.5,43,39,22.3,50.1,22.312,44.26,39.828,0.898477157,45.01370558,44.26,0.48758483,51.24151697,39.828,38.91259289,9.845890141
P14,P,1,23.7,42.5,38.5,22.3,50.05,22.312,43.832,39.328,0.909090909,45.5,43.832,0.472967033,52.7032967,39.328,37.3978022,9.898901099
P15,P,1,23.8,45,42,21.9,50.04,22.312,46.368,42.684,0.908341916,45.45342945,46.368,0.529244994,47.0755006,42.684,44.81950041,8.104998994
P16,P,1,23.6,37.5,34.5,21.7,50.02,22.312,38.796,35.112,0.917153996,45.87604288,38.796,0.359316082,64.06839177,35.112,27.90127307,8.030335156
P17,P,1,23.7,45.5,43.5,21.1,50.09,22.312,46.832,43.896,0.911618669,45.66297915,46.832,0.536977667,46.30223332,43.896,47.26805041,6.429716271
L1,L,1,24.1,45.5,43,22.3,50,22.312,46.976,43.828,0.908735332,45.43676662,46.976,0.542820316,45.71796844,43.828,47.35372166,6.9283099
L2,L,1,24.1,46,43,22,49.99,22.312,47.476,43.72,0.913140312,45.64788419,47.476,0.551263228,44.87367717,43.72,46.89812109,8.228201738
L3,L,1,23.3,45.5,42.3,21.7,50.09,22.312,46.688,42.912,0.903654485,45.26405316,46.688,0.538528883,46.14711167,42.912,45.51072775,8.342160582
L4,L,1,23.3,45.5,42.5,22,50.06,22.312,46.688,43.22,0.909959072,45.55255116,46.688,0.535118218,46.4881782,43.22,45.89863678,7.613185018
L5,L,1,24.2,44.5,42,22,49.95,22.312,46.012,42.72,0.896729776,44.79165232,46.012,0.529116449,47.08835515,42.72,45.5620611,7.349583749
L6,L,1,24,44.5,40.5,22,50.26,22.312,45.94,41.22,0.908045977,45.6383908,45.94,0.517722023,48.22779773,41.22,41.43003219,10.34217008
L7,L,1,24.2,46.5,44.5,22.2,50.43,22.312,48.012,45.292,0.904597701,45.61886207,48.012,0.563363461,43.66365395,45.292,50.37390009,5.962445963
L8,L,1,24,46.5,42.5,22.5,50.07,22.312,47.94,43.4,0.907801418,45.45361702,47.94,0.563827516,43.61724835,43.4,46.39454763,9.988204014
L9,L,1,23.7,45,43.5,22.4,50.19,22.312,46.332,44.364,0.905154639,45.42971134,46.332,0.528728871,47.12711287,44.364,48.54092036,4.331966772
L10,L,1,24,45,42.5,22.3,50.02,22.312,46.44,43.328,0.905477981,45.29200859,46.44,0.532720909,46.72790907,43.328,46.40112164,6.870969287
L11,L,1,24.5,44,42,22.3,50.01,22.312,45.62,42.828,0.912690355,45.64364467,45.62,0.510651596,48.9348404,42.828,44.94820724,6.11695236
L12,L,1,23.7,44,40.5,21.8,50.19,22.312,45.332,41.148,0.895127119,44.92643008,45.332,0.512393261,48.76067394,41.148,41.92632258,9.313003486
L13,L,1,24.4,44.5,42,22.4,50,22.312,46.084,42.864,0.896174863,44.80874317,46.084,0.530521463,46.94785366,42.864,45.86604878,7.186097561
L14,L,1,23.3,45.5,42,22.2,50,22.312,46.688,42.792,0.903071017,45.15355086,46.688,0.539846801,46.01531987,42.792,45.35634431,8.628335813
L15,L,1,23.5,44,41.5,21.9,50.05,22.312,45.26,42.184,0.916481069,45.86987751,45.26,0.500284746,49.97152544,42.184,43.32254865,6.705925909
L16,L,1,24.4,44,41.5,22.1,50.07,22.312,45.584,42.256,0.91025641,45.57653846,45.584,0.510613592,48.93864083,42.256,43.75935662,7.302002549
L17,L,1,23.7,44,41.5,21.8,50.02,22.312,45.332,42.148,0.907079646,45.37212389,45.332,0.507359983,49.26400172,42.148,43.71847359,7.017524697
I1,I,1,23.6,45,42.5,21.8,50.02,22.312,46.296,43.148,0.89953271,44.99462617,46.296,0.533041433,46.69585672,43.148,46.30775222,6.996391054
I2,I,1,23.8,44.1,41.5,22,50.27,22.312,45.468,42.22,0.896816685,45.08297475,45.468,0.513630703,48.63692973,42.22,44.15857673,7.204493532
I3,I,1,23.9,45,42.5,21.6,50,22.312,46.404,43.076,0.909294513,45.46472564,46.404,0.52990532,47.00946798,43.076,45.67057143,7.319960591
I4,I,1,23.8,44.5,42.5,21.5,50.04,22.312,45.868,43.04,0.897196262,44.89570093,45.868,0.524682754,47.53172462,43.04,46.16923128,6.299044098
I5,I,1,24,43.5,41.1,21.9,50.13,22.312,44.94,41.784,0.910776362,45.657219,44.94,0.495606182,50.43938178,41.784,42.64823926,6.91237896
I6,I,1,23.7,44,41.5,21.6,50.23,22.312,45.332,42.076,0.906562848,45.53665184,45.332,0.505526846,49.44731536,42.076,43.40240049,7.150284153
I7,I,1,23.7,44,41.5,21.8,50.08,22.312,45.332,42.148,0.900852878,45.11471215,45.332,0.510254835,48.97451651,42.148,43.96791879,7.057564701
I8,I,1,23.5,43.5,41.2,21.7,50.11,22.312,44.76,41.812,0.895238095,44.86038095,44.76,0.500396999,49.96030011,41.812,43.46819975,6.571500146
I9,I,1,23.9,43,40.5,21.6,50.04,22.312,44.404,41.076,0.903738318,45.22306542,44.404,0.488511776,51.14882241,41.076,41.49210105,7.359076544
I10,I,1,23.4,43.5,41.5,21.6,50.16,22.312,44.724,42.076,0.902462121,45.2675,44.724,0.495101342,50.4898658,42.076,43.6604628,5.849671398
I11,I,1,23.9,44,41,21.6,50.49,22.312,45.404,41.576,0.895127119,45.19496822,45.404,0.510941835,48.90581649,41.576,42.62421406,8.469969447
I12,I,1,23.8,43.5,41.2,21.8,50.08,22.312,44.868,41.848,0.894584139,44.80077369,44.868,0.503473448,49.65265521,41.848,43.60638978,6.740955013
I13,I,1,23.6,44.5,41.5,21.9,50.11,22.312,45.796,42.184,0.899902818,45.09413022,45.796,0.520777314,47.92226863,42.184,44.0678197,8.009911672
I14,I,1,23.5,43,40.5,22,50.05,22.312,44.26,41.22,0.897366031,44.91316985,44.26,0.488676263,51.1323737,41.22,42.0990103,6.768615999
I15,I,1,23.3,44,41,21.6,50.16,22.312,45.188,41.576,0.897763578,45.03182109,45.188,0.507996333,49.20036666,41.576,42.77863861,8.020994739
I16,I,1,23.5,43,41.5,21.7,50.06,22.312,44.26,42.112,0.901222954,45.11522107,44.26,0.486487697,51.3512303,42.112,43.88762712,4.761142579
I17,I,1,24,43.5,42.5,21.7,50.48,22.312,44.94,43.112,0.902941176,45.58047059,44.94,0.496440684,50.35593159,43.112,45.63357888,4.010489529
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,